ClusterIdx,Timestamp,Folder_Name
1,56.3743,partition arenaH
1,56.674,partition arenaH
1,56.9738,partition arenaH
2,57.2735,partition arenaH
1,57.5732,partition arenaH
1,57.8729,partition arenaH
3,58.1727,partition arenaH
3,58.4724,partition arenaH
2,58.7722,partition arenaH
1,59.0719,partition arenaH
1,59.3716,partition arenaH
1,59.6714,partition arenaH
1,59.9711,partition arenaH
3,60.2709,partition arenaH
3,60.5706,partition arenaH
3,60.8703,partition arenaH
1,61.1701,partition arenaH
1,61.4699,partition arenaH
3,61.7695,partition arenaH
3,62.0693,partition arenaH
3,62.3691,partition arenaH
1,62.6688,partition arenaH
1,62.9685,partition arenaH
3,63.2683,partition arenaH
3,63.568,partition arenaH
1,63.8677,partition arenaH
2,64.1675,partition arenaH
2,64.4673,partition arenaH
1,64.767,partition arenaH
2,65.0667,partition arenaH
1,65.3665,partition arenaH
3,65.6662,partition arenaH
3,65.966,partition arenaH
4,66.2657,partition arenaH
4,66.5655,partition arenaH
4,66.8652,partition arenaH
4,67.165,partition arenaH
3,67.4646,partition arenaH
1,67.7644,partition arenaH
1,68.0642,partition arenaH
3,68.3639,partition arenaH
1,68.6636,partition arenaH
1,68.9634,partition arenaH
1,69.2631,partition arenaH
1,69.5629,partition arenaH
1,69.8626,partition arenaH
2,70.1624,partition arenaH
2,70.4621,partition arenaH
2,70.7619,partition arenaH
3,71.0616,partition arenaH
4,71.3614,partition arenaH
4,71.6611,partition arenaH
3,71.9608,partition arenaH
3,72.2606,partition arenaH
4,72.5603,partition arenaH
4,72.8601,partition arenaH
4,73.1598,partition arenaH
3,73.7593,partition arenaH
3,74.0591,partition arenaH
1,74.3588,partition arenaH
3,74.6586,partition arenaH
3,74.9583,partition arenaH
3,75.2581,partition arenaH
3,75.5578,partition arenaH
3,75.8576,partition arenaH
1,76.1573,partition arenaH
1,76.4571,partition arenaH
1,76.7567,partition arenaH
1,77.0565,partition arenaH
1,77.3563,partition arenaH
2,77.656,partition arenaH
2,77.9608,partition arenaH
3,78.2555,partition arenaH
4,78.5553,partition arenaH
3,78.855,partition arenaH
4,79.1548,partition arenaH
4,79.4545,partition arenaH
3,79.7543,partition arenaH
5,80.054,partition arenaH
3,80.3538,partition arenaH
1,80.6535,partition arenaH
3,80.9533,partition arenaH
1,81.2531,partition arenaH
5,81.5528,partition arenaH
4,81.8525,partition arenaH
4,82.1523,partition arenaH
4,82.4521,partition arenaH
4,82.7518,partition arenaH
5,83.0516,partition arenaH
