  1mp_open: 2000/113587 cols  (6s)
  1mp_open: 4000/113587 cols  (12s)
  1mp_open: 6000/113587 cols  (18s)
  1mp_open: 8000/113587 cols  (24s)
  1mp_open: 10000/113587 cols  (30s)
  1mp_open: 12000/113587 cols  (36s)
  1mp_open: 14000/113587 cols  (42s)
  1mp_open: 16000/113587 cols  (48s)
  1mp_open: 18000/113587 cols  (54s)
  1mp_open: 20000/113587 cols  (60s)
  1mp_open: 22000/113587 cols  (66s)
  1mp_open: 24000/113587 cols  (72s)
  1mp_open: 26000/113587 cols  (78s)
  1mp_open: 28000/113587 cols  (84s)
  1mp_open: 30000/113587 cols  (90s)
  1mp_open: 32000/113587 cols  (96s)
  1mp_open: 34000/113587 cols  (102s)
  1mp_open: 36000/113587 cols  (108s)
  1mp_open: 38000/113587 cols  (114s)
  1mp_open: 40000/113587 cols  (120s)
  1mp_open: 42000/113587 cols  (126s)
  1mp_open: 44000/113587 cols  (132s)
  1mp_open: 46000/113587 cols  (139s)
  1mp_open: 48000/113587 cols  (145s)
  1mp_open: 50000/113587 cols  (151s)
  1mp_open: 52000/113587 cols  (157s)
  1mp_open: 54000/113587 cols  (163s)
  1mp_open: 56000/113587 cols  (169s)
  1mp_open: 58000/113587 cols  (175s)
  1mp_open: 60000/113587 cols  (181s)
  1mp_open: 62000/113587 cols  (187s)
  1mp_open: 64000/113587 cols  (193s)
  1mp_open: 66000/113587 cols  (200s)
  1mp_open: 68000/113587 cols  (206s)
  1mp_open: 70000/113587 cols  (212s)
  1mp_open: 72000/113587 cols  (218s)
  1mp_open: 74000/113587 cols  (224s)
  1mp_open: 76000/113587 cols  (230s)
  1mp_open: 78000/113587 cols  (237s)
  1mp_open: 80000/113587 cols  (243s)
  1mp_open: 82000/113587 cols  (249s)
  1mp_open: 84000/113587 cols  (255s)
  1mp_open: 86000/113587 cols  (261s)
  1mp_open: 88000/113587 cols  (268s)
  1mp_open: 90000/113587 cols  (274s)
  1mp_open: 92000/113587 cols  (280s)
  1mp_open: 94000/113587 cols  (286s)
  1mp_open: 96000/113587 cols  (292s)
  1mp_open: 98000/113587 cols  (298s)
  1mp_open: 100000/113587 cols  (305s)
  1mp_open: 102000/113587 cols  (311s)
  1mp_open: 104000/113587 cols  (317s)
  1mp_open: 106000/113587 cols  (323s)
  1mp_open: 108000/113587 cols  (329s)
  1mp_open: 110000/113587 cols  (336s)
  1mp_open: 112000/113587 cols  (342s)
  1mp_open: 113587/113587 cols  (347s)

====================================================================
1mp_open: feature axis
====================================================================
  kept clusters: 107   (347s total)
  self-distance (diag): median 0.001888, max 0.005219
  cross Dfeat: median 0.02669, range [0.001092, 0.2569]
  cross >= self scale?  min cross 0.001092 vs median self 0.001888  (some cross below self -> degeneracy candidates)
